Pattern,Print,Fabric,Native_Product_Id,Primary_Colour
Dyed,Bandhani,Art Silk,11492906,Yellow
Woven,Abstract Print,Cotton Silk,11379860,Black
Dyed,Ombre,Cotton Silk,11379862,Grey
Embroidered,Ethnic Motifs,Pure Cotton,12509856,Blue
Embroidered,Paisley Print,Organza,12831464,Grey
Woven,Ethnic Motifs,Silk Blend,13068118,Navy Blue
Woven,Floral,Silk Blend,13067962,Red
Woven,Abstract Print,Cotton Silk,11379834,Blue
Embroidered,Floral,Cotton Blend,12387460,Navy Blue
Embroidered,Ethnic Motifs,Cotton Silk,11716836,White
Printed,Floral,Cotton Blend,12831480,Blue
Checked,Checked,Silk Blend,15038412,Beige
Woven,Floral,Silk Blend,12889094,Red
Woven,Ethnic Motifs,Art Silk,13008814,Navy Blue
Woven,Floral,Silk Blend,13068070,Black
Woven,Floral,Silk Blend,13068028,Purple
Embroidered,Floral,Cotton Blend,13680598,Yellow
Woven,Ethnic Motifs,Cotton Silk,13661702,Green
Printed,Abstract Print,Poly Crepe,11265092,Blue
Woven,Ethnic Motifs,Cotton Silk,12775418,Navy Blue
Woven,Striped,Silk Blend,13135170,Orange
Embroidered,Ethnic Motifs,Silk Blend,12967790,Black
Printed,Bandhani,Art Silk,12889134,Peach
Woven,Ethnic Motifs,Silk Blend,13067964,Purple
Woven,Ethnic Motifs,Silk Blend,13068002,Navy Blue
Woven,Ethnic Motifs,Silk Blend,13068084,Navy Blue
Woven,Ethnic Motifs,Silk Blend,13875996,Navy Blue
Embroidered,Floral,Poly Georgette,13640288,White
Woven,Ethnic Motifs,Silk Blend,13606326,Teal
Printed,Floral,Cotton Blend,13998390,Off-White
Solid,Solid,Poly Chiffon,14566566,Gold
Checked,Checked,Silk Blend,15038412,Beige
Woven,Ethnic Motifs,Cotton Silk,15051062,Magenta
Woven,Ethnic Motifs,Silk Blend,13068080,Red
Woven,Ethnic Motifs,Cotton Silk,13661598,Purple
Solid,Floral,Cotton Silk,11492908,Red
Printed,Ethnic Motifs,Cotton Silk,13675974,Coral
Checked,Checked,Silk Blend,15038412,Beige
Embroidered,Floral,Art Silk,11275706,White
Checked,Checked,Silk Blend,15038412,Beige
Woven,Floral,Silk Blend,12889116,Peach
Embroidered,Checked,Art Silk,13680568,Red
Woven,Ethnic Motifs,Cotton Blend,12457290,Green
Woven,Floral,Silk Blend,13068140,Pink
Embroidered,Floral,Silk Blend,12967814,White
Printed,Floral,Silk Blend,13530112,Mustard
Woven,Ethnic Motifs,Silk Blend,13606300,Burgundy
Striped,Striped,Silk Blend,14160352,White
Checked,Checked,Silk Blend,15038412,Beige
Woven,Solid,Cotton Silk,15372538,Brown
Woven,Ethnic Motifs,Art Silk,11775104,Navy Blue
Woven,Floral,Silk Blend,13068136,Teal
Embroidered,Checked,Art Silk,13680564,Green
